"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AT4G20830",5.07498352105753e-17,0.325212499722551,0.386,0.155,6.24882720947814e-13,"0","AT4G20830"
"AT2G29500",2.20157140491905e-16,0.589877991135273,0.584,0.33,2.71079487087683e-12,"0","AT2G29500"
"AT4G37610",3.20914117063405e-16,0.491134789475138,0.56,0.328,3.9514155234017e-12,"0","AT4G37610"
"AT1G09070",6.16845765877134e-16,0.489555464529189,0.904,0.813,7.59522191524514e-12,"0","AT1G09070"
"AT3G05500",1.51998739410746e-15,0.361963285387782,0.355,0.146,1.87156047836452e-11,"0","AT3G05500"
"AT1G73920",1.98926573746558e-15,0.372062651813386,0.375,0.167,2.44938290254136e-11,"0","AT1G73920"
"AT5G18400",2.08548113673838e-15,0.312134823256126,0.386,0.168,2.56785292366596e-11,"0","AT5G18400"
"AT5G08790",2.82121043707271e-14,0.487888204832071,0.662,0.474,3.47375641116763e-10,"0","AT5G08790"
"AT3G15450",4.59583912612999e-14,0.762626666143933,0.587,0.4,5.65885671600385e-10,"0","AT3G15450"
"AT3G09440",6.94525013178044e-14,0.480667532117695,0.891,0.789,8.55168648726126e-10,"0","AT3G09440"
"AT3G48990",7.1669181590519e-14,0.341174292682978,0.454,0.237,8.8246263292406e-10,"0","AT3G48990"
"AT1G32230",9.480760726683e-14,0.320019837622185,0.41,0.196,1.16736606827648e-09,"0","AT1G32230"
"AT3G05220",2.66339717086226e-13,0.37718587862334,0.389,0.195,3.2794409364827e-09,"0","AT3G05220"
"AT5G27760",3.41511831558503e-13,0.293411905351011,0.345,0.153,4.20503518197984e-09,"0","AT5G27760"
"AT4G01870",4.05109434596383e-13,0.377917769895748,0.485,0.254,4.98811246818527e-09,"0","AT4G01870"
"AT1G76690",4.21486395554015e-13,0.426282592629644,0.447,0.238,5.18976198845659e-09,"0","AT1G76690"
"AT5G61820",7.43332941913723e-13,0.310140706508709,0.382,0.18,9.15265851378367e-09,"0","AT5G61820"
"AT1G20100",2.26114872120968e-12,0.30844467447597,0.396,0.201,2.78415242042547e-08,"0","AT1G20100"
"AT5G67600",2.6612748274451e-12,0.313420412762086,0.259,0.1,3.27682769503315e-08,"0","AT5G67600"
"AT1G80920",2.75502626894552e-12,0.327674870280335,0.331,0.151,3.39226384495261e-08,"0","AT1G80920"
